================================================================================
D2 — RAW (coleta operador) — policies integrais
================================================================================
Project ref: zaemlxjwhzrfmowbckmk
Timestamp UTC: 2026-08-12T20:49:00Z
READ-ONLY

| schemaname | tablename        | policyname                                 | permissive | roles           | cmd    | qual                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | with_check                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| public     | role_permissions | role_permissions_select_authenticated      | PERMISSIVE | {authenticated} | SELECT | true                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| public     | roles            | roles_select_authenticated                 | PERMISSIVE | {authenticated} | SELECT | true                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| public     | staff            | Allow all operations on staff              | PERMISSIVE | {public}        | ALL    | true                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | true                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| public     | staff_invites    | staff_invites_insert_admin                 | PERMISSIVE | {authenticated} | INSERT | null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | is_admin_for_staff_invites()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| public     | staff_invites    | staff_invites_select_admin                 | PERMISSIVE | {authenticated} | SELECT | is_admin_for_staff_invites()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| public     | users            | Allow all operations on users              | PERMISSIVE | {public}        | ALL    | true                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | true                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| public     | users            | Permitir leitura para login (anon)         | PERMISSIVE | {anon}          | SELECT | true                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| public     | users            | Users can view all data                    | PERMISSIVE | {public}        | SELECT | true                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| storage    | objects          | boletos_insert_authenticated               | PERMISSIVE | {authenticated} | INSERT | null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | (bucket_id = 'boletos'::text)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| storage    | objects          | boletos_read_all                           | PERMISSIVE | {public}        | SELECT | (bucket_id = 'boletos'::text)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| storage    | objects          | boletos_update_authenticated               | PERMISSIVE | {authenticated} | UPDATE | (bucket_id = 'boletos'::text)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | (bucket_id = 'boletos'::text)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |

CLASSIFICAÇÃO: FAIL (ver D2-STORAGE-LIVE-2026-08-12.txt)
================================================================================
